"/";"Home";"FALSE";"Fast";"TRUE";0;320;137;"Unique";"Unique";"Unique";"URLs with more than 10 Follow Inlinks";"1000 - 3000"
"/2015/03/";"/2015/";"FALSE";"Slow";"TRUE";1;303;108;"Unique";"No Set";"Duplicate";"URLs with more than 10 Follow Inlinks";"1000 - 3000"
"/2013/10/";"/2013/";"FALSE";"Slow";"TRUE";1;311;122;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"1000 - 3000"
"/2015/11/";"/2015/";"FALSE";"Slow";"TRUE";1;301;75;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"250 - 500"
"/2015/07/";"/2015/";"FALSE";"Slow";"TRUE";1;302;89;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"1000 - 3000"
"/category/cat6/";"/cat6/";"FALSE";"Slowest";"TRUE";1;529;167;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"3000 +"
"/cat3/2015/03/demo-post-13-2/";"/cat3/";"FALSE";"Slow";"TRUE";2;29;74;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/2013/06/";"/2013/";"FALSE";"Slowest";"TRUE";1;302;72;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"250 - 500"
"/uncategorised/2015/11/demo-post-37/";"/uncategorised/";"FALSE";"Slow";"TRUE";2;19;70;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"250 - 500"
"/cat2/2013/10/demo-post-12-3/";"/cat2/";"FALSE";"Slow";"TRUE";2;35;76;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"250 - 500"
"/uncategorised/2015/08/demo-post-37-2/";"/uncategorised/";"FALSE";"Slow";"TRUE";2;31;74;"Duplicate";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"250 - 500"
"/category/cat2/";"/cat2/";"FALSE";"Slowest";"TRUE";1;523;154;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"3000 +"
"/uncategorised/2015/03/demo-post-45-2/";"/uncategorised/";"FALSE";"Slow";"TRUE";2;34;75;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/2014/10/";"/2014/";"FALSE";"Slow";"TRUE";1;311;128;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"1000 - 3000"
"/author/douglassimmons/";"/author/";"FALSE";"Slow";"TRUE";2;13;74;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"250 - 500"
"/author/wordpress_logs/";"/author/";"FALSE";"Slow";"TRUE";1;7;68;"Unique";"Duplicate";"Duplicate";"URLs with 5 to 10 Follow Inlinks";"150 - 250"
"/2014/06/";"/2014/";"FALSE";"Slow";"TRUE";1;304;82;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/author/tonyreyes/";"/author/";"FALSE";"Slow";"TRUE";1;24;85;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"1000 - 3000"
"/2015/04/";"/2015/";"FALSE";"Slow";"TRUE";1;303;91;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"1000 - 3000"
"/author/cherylanderson/";"/author/";"FALSE";"Slow";"TRUE";2;23;84;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/author/lawrencegriffin/";"/author/";"FALSE";"Slowest";"TRUE";2;34;95;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"1000 - 3000"
"/category/cat9/";"/cat9/";"FALSE";"Slowest";"TRUE";1;562;155;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"3000 +"
"/author/tracycoleman/";"/author/";"FALSE";"Slow";"TRUE";2;8;69;"Unique";"Duplicate";"Duplicate";"URLs with 5 to 10 Follow Inlinks";"500 - 1000"
"/uncategorised/2014/06/demo-post-8-3/";"/uncategorised/";"FALSE";"Slowest";"TRUE";2;36;77;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/uncategorised/2014/02/demo-post-33/";"/uncategorised/";"FALSE";"Slow";"TRUE";2;20;71;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"250 - 500"
"/author/annettestevens/";"/author/";"FALSE";"Slow";"TRUE";1;9;70;"Unique";"Duplicate";"Duplicate";"URLs with 5 to 10 Follow Inlinks";"500 - 1000"
"/cat2/2013/08/demo-post-14-3/";"/cat2/";"FALSE";"Slow";"TRUE";2;26;73;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"250 - 500"
"/cat8/2015/04/demo-post-46-2/";"/cat8/";"FALSE";"Slow";"TRUE";2;22;71;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/author/scottstanley/";"/author/";"FALSE";"Slow";"TRUE";2;7;68;"Unique";"Duplicate";"Duplicate";"URLs with 5 to 10 Follow Inlinks";"500 - 1000"
"/author/katharinestone/";"/author/";"FALSE";"Slow";"TRUE";2;11;72;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"250 - 500"
"/cat2/2014/10/demo-post-6-3/";"/cat2/";"FALSE";"Slow";"TRUE";2;37;78;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/cat2/2015/12/demo-post-7-3/";"/cat2/";"FALSE";"Slow";"TRUE";2;31;74;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"250 - 500"
"/2013/09/";"/2013/";"FALSE";"Slow";"TRUE";1;303;75;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/category/cat1/";"/cat1/";"FALSE";"Slowest";"TRUE";1;585;162;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"3000 +"
"/uncategorised/2015/08/demo-post-1-3/";"/uncategorised/";"FALSE";"Slow";"TRUE";2;34;75;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/demo-page-1/demo-page-2/";"no match";"FALSE";"Slow";"TRUE";1;301;63;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"150 - 250"
"/category/cat10/";"/cat10/";"FALSE";"Slowest";"TRUE";1;507;158;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"3000 +"
"/author/cindymoore/";"/author/";"FALSE";"Slow";"TRUE";2;18;79;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
"/uncategorised/2013/10/demo-post-28/";"/uncategorised/";"FALSE";"Slow";"TRUE";2;19;70;"Unique";"Duplicate";"Duplicate";"URLs with more than 10 Follow Inlinks";"500 - 1000"
